CustomerID,Customer Name,Address,CityID,Cities,CountryID,CountryName,ProductID,Product Name,Quantity,Discount,Price,Sales,Net Sales
41987,Aaron Donovan,18 Hague Blvd.,8,Arlington,32,United States,276,Snapple - Iced Tea Peach,11,0,49.2508,541.7588,541.76
25510,Aaron Holloway,28 Clarendon Freeway,5,Virginia Beach,32,United States,312,Salmon - Sockeye Raw,7,0,84.0645,588.4515,588.45
23540,Aaron Key,71 Fabien Way,51,Portland,32,United States,246,Ice Cream Bar - Hageen Daz To,6,0,48.5371,291.2226,291.22
19660,Aaron Weaver,83 North Second St.,4,Fremont,32,United States,97,Veal - Inside,5,0,24.7798,123.899,123.90
90201,Abel House,20 West Clarendon Freeway,39,Lubbock,32,United States,191,"Hickory Smoke, Liquid",23,0.1,10.283,236.509,212.86
60088,Abel Peterson,49 Old Avenue,6,Austin,32,United States,402,Butter - Unsalted,16,0,76.3275,1221.24,1221.24
83981,Abel Powell,625 West Rocky Clarendon Boulevard,90,Grand Rapids,32,United States,248,Beef - Inside Round,22,0,99.3193,2185.0246,2185.02
50305,Abigail Cooper,456 White Nobel Drive,52,Madison,32,United States,244,Beef - Rib Eye Aaa,13,0,94.0664,1222.8632,1222.86
87923,Abigail Holt,828 Cowley Avenue,28,Tucson,32,United States,217,Bread - Multigrain,23,0,96.52,2219.96,2219.96
17062,Abigail Lloyd,77 West Cowley Avenue,18,Little Rock,32,United States,298,Pop Shoppe Cream Soda,5,0,95.7387,478.6935,478.69
25869,Abigail Mullen,68 East Green Old Boulevard,89,St. Paul,32,United States,169,Water - Aquafina Vitamin,7,0.2,68.5996,480.1972,384.16
66298,Abigail Rosario,69 White Milton Boulevard,21,Milwaukee,32,United States,443,Lettuce - Spring Mix,17,0,90.0169,1530.2873,1530.29
74500,Abraham Chung,283 Rocky Hague Blvd.,61,Miami,32,United States,181,Phyllo Dough,19,0,64.5718,1226.8642,1226.86
7493,Abraham Hood,242 East Milton Blvd.,72,Honolulu,32,United States,335,"Oil - Shortening,liqud, Fry",2,0,18.4231,36.8462,36.85
